,maker,Year,Market_Share
0,PCA Automobiles,2022,0.0
1,BYD India,2022,0.17905588714053175
2,Mahindra & Mahindra,2022,21.93163320672816
3,MG Motor,2022,8.93651654910472
4,Tata Motors,2022,68.95279435702659
5,PCA Automobiles,2023,0.32684690144808326
6,BYD India,2023,1.9913850949154746
7,Mahindra & Mahindra,2023,29.881599168813178
8,MG Motor,2023,7.093227126128271
9,Tata Motors,2023,60.706941708695
10,PCA Automobiles,2024,1.8391218283246353
11,BYD India,2024,1.7587427268910085
12,Mahindra & Mahindra,2024,28.007917941335254
13,MG Motor,2024,10.592046068022313
14,Tata Motors,2024,57.802171435426786
