,state,total_vehicles_sold_2022,total_vehicles_sold_2024,CAGR
21,Meghalaya,22193,36628,28.469074717044762
9,Goa,48372,78524,27.41019637797184
15,Karnataka,1007894,1581988,25.283582187477993
8,Delhi,401540,606348,22.884347388479842
27,Rajasthan,880985,1300476,21.497380306494197
10,Gujarat,1094872,1590987,20.54567713183961
3,Assam,379450,547626,20.133671761039995
22,Mizoram,19439,27422,18.77159900880163
2,Arunachal Pradesh,19929,27892,18.303358703868543
11,Haryana,528591,732029,17.68043389485452
