,date,electric_vehicles_sold
0,2021-04-01,6315
1,2021-05-01,1499
2,2021-06-01,5487
3,2021-07-01,15794
4,2021-08-01,17153
5,2021-09-01,19351
6,2021-10-01,22190
7,2021-11-01,26159
8,2021-12-01,29241
9,2022-01-01,31672
10,2022-02-01,38171
11,2022-03-01,58118
12,2022-04-01,55524
13,2022-05-01,45373
14,2022-06-01,47591
15,2022-07-01,50010
16,2022-08-01,55584
17,2022-09-01,56828
18,2022-10-01,81162
19,2022-11-01,80752
20,2022-12-01,68475
21,2023-01-01,68116
22,2023-02-01,70827
23,2023-03-01,95126
24,2023-04-01,72818
25,2023-05-01,112997
26,2023-06-01,53631
27,2023-07-01,61622
28,2023-08-01,69224
29,2023-09-01,69793
30,2023-10-01,81833
31,2023-11-01,98285
32,2023-12-01,82685
33,2024-01-01,89311
34,2024-02-01,89051
35,2024-03-01,138343
